Temperature,Variation,Replicate,Conc,Offspring,Lifespan
20,_+/-_4_C,1,0,227,15
20,_+/-_4_C,2,0,279,21
20,_+/-_4_C,3,0,254,19
20,_+/-_4_C,4,0,292,16
20,_+/-_4_C,5,0,240,22
20,_+/-_4_C,6,0,213,19
20,_+/-_4_C,7,0,281,19
20,_+/-_4_C,8,0,252,15
20,_+/-_4_C,9,0,288,21
20,_+/-_4_C,10,0,305,21
20,_+/-_4_C,11,0,247,21
20,_+/-_4_C,12,0,269,16
20,_+/-_4_C,13,0,251,19
20,_+/-_4_C,14,0,294,10
20,_+/-_4_C,15,0,0,15
20,_+/-_4_C,16,0,278,16
20,_+/-_4_C,17,0,280,22
20,_+/-_4_C,18,0,193,19
20,_+/-_4_C,19,0,293,19
20,_+/-_4_C,20,0,279,15
20,_+/-_4_C,21,0,313,21
20,_+/-_4_C,22,0,175,19
20,_+/-_4_C,23,0,290,16
20,_+/-_4_C,24,0,303,21
20,_+/-_4_C,25,0,239,15
20,_+/-_4_C,26,0,229,21
20,_+/-_4_C,27,0,195,22
20,_+/-_4_C,28,0,182,18
20,_+/-_4_C,29,0,241,15
20,_+/-_4_C,30,0,140,19
20,_+/-_4_C,31,0,319,16
20,_+/-_4_C,32,0,266,17
20,_+/-_4_C,33,0,182,19
20,_+/-_4_C,34,0,303,15
20,_+/-_4_C,35,0,231,22
20,_+/-_4_C,36,0,253,18
20,_+/-_4_C,1,1,323,15
20,_+/-_4_C,2,1,314,16
20,_+/-_4_C,3,1,282,21
20,_+/-_4_C,4,1,271,16
20,_+/-_4_C,5,1,256,22
20,_+/-_4_C,6,1,315,21
20,_+/-_4_C,7,1,308,20
20,_+/-_4_C,8,1,288,21
20,_+/-_4_C,9,1,315,18
20,_+/-_4_C,10,1,245,20
20,_+/-_4_C,11,1,279,22
20,_+/-_4_C,12,1,241,21
20,_+/-_4_C,1,3,266,20
20,_+/-_4_C,2,3,309,22
20,_+/-_4_C,3,3,344,15
20,_+/-_4_C,4,3,301,19
20,_+/-_4_C,5,3,227,21
20,_+/-_4_C,6,3,285,22
20,_+/-_4_C,7,3,294,21
20,_+/-_4_C,8,3,246,21
20,_+/-_4_C,9,3,0,15
20,_+/-_4_C,10,3,317,16
20,_+/-_4_C,11,3,300,21
20,_+/-_4_C,12,3,231,16
20,_+/-_4_C,1,8,279,21
20,_+/-_4_C,2,8,281,21
20,_+/-_4_C,3,8,210,20
20,_+/-_4_C,4,8,216,20
20,_+/-_4_C,5,8,212,21
20,_+/-_4_C,6,8,289,18
20,_+/-_4_C,7,8,224,20
20,_+/-_4_C,8,8,254,21
20,_+/-_4_C,9,8,269,21
20,_+/-_4_C,10,8,296,21
20,_+/-_4_C,11,8,262,22
20,_+/-_4_C,12,8,240,18
20,_+/-_4_C,1,20,207,12
20,_+/-_4_C,2,20,156,11
20,_+/-_4_C,3,20,202,9
20,_+/-_4_C,4,20,190,14
20,_+/-_4_C,5,20,195,14
20,_+/-_4_C,6,20,147,13
20,_+/-_4_C,7,20,183,12
20,_+/-_4_C,8,20,204,13
20,_+/-_4_C,9,20,219,12
20,_+/-_4_C,10,20,118,9
20,_+/-_4_C,11,20,126,8
20,_+/-_4_C,12,20,167,13
20,_+/-_4_C,1,40,143,14
20,_+/-_4_C,2,40,161,12
20,_+/-_4_C,3,40,150,12
20,_+/-_4_C,4,40,156,14
20,_+/-_4_C,5,40,0,10
20,_+/-_4_C,6,40,174,10
20,_+/-_4_C,7,40,0,6
20,_+/-_4_C,8,40,215,13
20,_+/-_4_C,9,40,117,10
20,_+/-_4_C,10,40,1,6
20,_+/-_4_C,11,40,2,5
20,_+/-_4_C,12,40,0,4
